Coven #,curve_type,circulating_supply,bonding_curve_backing,ch_treasury,dao_treasury,buys,sales,target_supply,target_price,beyond_supply,beyond_price,linear_slope,quadratic_coefficient,exponential_coefficient,exponential_intercept
118,Linear,5,519.1344537815136,1218.4934873949578,68538.54532669742,24,19,120,4075,131,12225,32.87394957983193,0.27625167714144483,2.9755385177071925,-38061.60094925155
119,Quadratic,13,1240.4313105241708,279.75245250247434,68538.54532669742,26,13,455,2375,483,7125,5.022026431718062,0.01106173222845388,0.18124236874236874,-34981.95207570207
120,Fixed,6,1356,508.4999999999998,68538.54532669742,18,12,312,5650,333,16950,17.440514469453376,0.056078824660621786,0.8368510701325631,-75291.07235429164
121,Fixed,16,3504,492.7500000000002,68538.54532669742,23,7,527,5475,558,16425,9.992395437262358,0.018996949500498777,0.32615494593870076,-84764.24582253597
122,Fixed,6,582,247.35000000000014,68538.54532669742,20,14,654,2425,692,7275,3.565084226646248,0.005459547054588435,0.0949639724310777,-38068.49252036341
123,Fixed,6,594,267.3000000000002,68538.54532669742,21,15,89,2475,98,7425,27.0,0.3068181818181818,2.972972972972973,-20547.7027027027
124,Fixed,6,1272,731.3999999999994,68538.54532669742,26,20,111,5300,122,15900,46.25454545454546,0.42049586776859504,4.171585989767808,-45176.19047619047
125,Quadratic,10,400.207524784331,126.85169619336814,68538.54532669742,26,16,447,1000,474,3000,2.1524663677130045,0.004826157775141266,0.08060290976504252,-15033.208398823197
126,Linear,5,495.96116504854365,406.96601941747576,68538.54532669742,22,17,413,2700,439,8100,6.29126213592233,0.015270053727966821,0.24434389140271492,-38775.90950226244
127,Fixed,2,38,68.39999999999995,68538.54532669742,25,23,503,475,533,1425,0.9083665338645418,0.0018094950873795653,0.030625402965828497,-7242.724049000644
128,Fixed,12,1116,223.19999999999987,68538.54532669742,22,10,259,2325,277,6975,8.651162790697674,0.0335316387236344,0.4837702871410737,-29876.685393258427
129,Linear,12,745.0434782608696,172.68438735177858,68538.54532669742,23,11,507,1275,537,3825,2.41897233201581,0.004780577731256542,0.08157389635316699,-19610.854126679464
130,Linear,4,56.0,764.1,68538.54532669742,17,13,50,2450,58,7350,48.0,0.9795918367346939,5.778301886792453,-11423.702830188678
131,Fixed,13,2691,698.6249999999994,68538.54532669742,29,16,481,5175,510,15525,10.35,0.0215625,0.3608660785886127,-77968.54450681637
132,Quadratic,12,1759.5057279702114,308.1388496013693,68538.54532669742,20,8,448,3650,475,10950,7.8389261744966445,0.017536747593952226,0.2935617485020308,-55006.27940644228
133,Quadratic,10,680.9446874196037,112.51729175288865,68538.54532669742,16,6,599,1700,634,5100,2.729096989966555,0.004563707341081196,0.07891377509574098,-26519.881629337357
134,Fixed,5,440,204.59999999999988,68538.54532669742,18,13,313,2200,334,6600,6.769230769230769,0.021696252465483234,0.32484311554079,-29421.52823920266
135,Quadratic,1,191.5921539004779,535.8017046292616,68538.54532669742,19,18,474,4825,503,14475,9.792811839323468,0.02070361911062044,0.34129089301503096,-71531.67020335986
136,Linear,1,4.495774647887373,223.5878873239437,68538.54532669742,15,14,356,2100,379,6300,5.67887323943662,0.015996826026582027,0.2491250963876861,-29295.99027225814
137,Quadratic,2,209.0796040498325,350.5648086115398,68538.54532669742,23,21,327,2650,348,7950,7.803680981595092,0.02393767172268433,0.3750088445482205,-37204.43996320668
138,Quadratic,10,1116.263020833333,284.84459635416664,68538.54532669742,22,12,289,2775,308,8325,9.25,0.03211805555555555,0.4909332153914197,-37944.96461742592
139,Fixed,1,122,247.0500000000001,68538.54532669742,14,13,191,3050,206,9150,15.410526315789474,0.08110803324099723,1.029535864978903,-34116.2447257384
140,Fixed,6,420,147.0,68538.54532669742,17,11,114,1750,125,5250,14.867256637168142,0.13156864280679773,1.3425393172228615,-15392.884541618718
141,Quadratic,7,517.7671163270991,184.50363634873543,68538.54532669742,20,13,248,1850,265,5550,7.190283400809717,0.029110459112589946,0.4259237941752043,-24135.18475883504
142,Linear,6,504.0,267.3867674858223,68538.54532669742,21,15,530,2100,562,6300,3.8109640831758034,0.007204090894472218,0.12041284403669725,-31596.450688073397
143,Fixed,0,0,227.2499999999999,68538.54532669742,15,15,595,2525,630,7575,4.08080808080808,0.0068700472740876786,0.11797687186076393,-39101.4875598645
144,Fixed,8,928,278.39999999999986,68538.54532669742,20,12,424,2900,450,8700,6.581560283687943,0.015559244169475043,0.25582215949188425,-42874.00317572336
145,Linear,7,367.265306122449,118.59795918367342,68538.54532669742,17,10,197,1100,212,3300,5.387755102040816,0.027488546438983758,0.36036036036036034,-12743.603603603602
146,Linear,8,1738.0485175202157,514.0783018867925,68538.54532669742,19,11,372,4775,396,14325,12.355795148247978,0.033304030049185925,0.519473455178416,-66725.84584421237
147,Linear,14,2046.0,739.3499999999998,68538.54532669742,29,15,97,1550,107,4650,15.5,0.16145833333333334,1.5346534653465347,-12593.366336633664
148,Linear,12,1379.1601866251947,457.4183514774497,68538.54532669742,30,18,644,2500,681,7500,3.7325038880248833,0.005804827197550363,0.10214295928581643,-39730.90437376152
149,Quadratic,9,2188.9427218934907,747.8896153846155,68538.54532669742,25,16,586,6075,620,18225,9.96923076923077,0.017041420118343194,0.2968047684189955,-95499.01187219073
150,Fixed,8,784,235.19999999999987,68538.54532669742,20,12,239,2450,256,7350,9.882352941176471,0.04152249134948097,0.5846557690013124,-30667.24137931034
151,Quadratic,8,1392.6910925936716,443.9693801060543,68538.54532669742,21,13,656,4350,694,13050,6.37557251908397,0.009733698502418274,0.16984226143995002,-68516.57621427455
152,Linear,7,560.2857142857144,199.88809523809525,68538.54532669742,19,12,379,1850,403,5550,4.698412698412699,0.012429663223314017,0.19764957264957264,-26390.96153846154
153,Fixed,5,220,155.10000000000002,68538.54532669742,26,21,705,1100,745,3300,1.5,0.002130681818181818,0.03798342541436464,-17725.193370165747
154,Quadratic,14,2147.6058530148075,322.45323798249535,68538.54532669742,21,7,682,3825,721,11475,5.392070484581498,0.007917871489840671,0.14000988305056827,-61106.12337341459
155,Quadratic,7,1693.2672053984418,744.9123427709752,68538.54532669742,24,17,702,6050,742,18150,8.28530670470756,0.011819267767057861,0.20977808599167821,-97035.16123439667
156,Fixed,1,42,110.25000000000006,68538.54532669742,18,17,383,1050,407,3150,2.6387434554973823,0.006907705380883199,0.11104060913705584,-15153.489847715737
157,Fixed,1,197,605.7749999999995,68538.54532669742,21,20,130,4925,142,14775,36.651162790697676,0.2841175410131603,3.0401234567901234,-45665.694444444445
